Brand;Price;Ram;CPU;GPU;Display;Storage
HP;183900;32;4681,43;0,00;61,64;4285,71
HP;25999;4;0,00;0,00;32,40;68,57
Lenovo;69999;8;3344,81;0,00;28,75;1097,14
ASUS;148990;32;4221,91;202,74;80,18;2142,86
Acer;82600;12;1226,04;0,00;28,75;548,57
Lenovo;131674;8;2736,63;11,88;11,53;548,57
HP;38500;8;2718,60;0,00;11,28;548,57
Acer;76185;8;2375,46;0,00;28,75;1097,14
Dell;72677;8;1946,32;11,88;12,68;548,57
Dell;47900;4;0,00;0,84;11,28;233,33
Dell;35900;4;408,69;11,05;11,28;274,29
Dell;22989;8;0,00;8,64;32,40;548,57
Dell;152500;16;0,00;0,00;12,68;548,57
Dell;95150;8;2538,10;11,88;28,75;233,33
HP;42998;4;0,00;0,00;25,10;137,14
HP;81900;16;3966,33;0,00;25,99;1097,14
Acer;93900;32;3924,67;0,00;28,75;2142,86
Acer;94900;24;3924,67;0,00;28,75;2142,86
ASUS;86999;36;0,00;0,00;28,75;4285,71
ASUS;98999;12;4036,08;0,00;25,99;1097,14
ASUS;197900;32;4346,79;0,00;78,02;4285,71
ASUS;114999;16;4036,08;0,00;32,40;2142,86
Lenovo;136900;40;3540,62;0,00;28,75;2142,86
Acer;169900;36;3540,62;0,00;28,75;8571,43
Dell;236900;32;4681,43;0,00;30,96;2142,86
Lenovo;195900;24;3540,62;0,00;28,75;4285,71
HP;154900;16;3279,53;0,00;11,28;4285,71
Dell;108900;64;3979,73;0,00;32,40;8571,43
Dell;109900;16;3924,67;0,00;30,14;2142,86
MSI;235792;32;5069,15;0,00;90,27;4285,71
HP;119900;16;3279,53;52,01;25,99;466,67
ASUS;101888;16;0,00;0,00;46,75;1097,14
ASUS;84900;32;2849,67;0,00;11,55;2142,86
ASUS;69900;20;2718,60;0,00;12,68;1097,14
MSI;188900;64;4491,93;0,00;46,75;8571,43
Acer;69900;20;612,33;0,00;28,75;2142,86
ASUS;57900;12;3059,80;0,00;13,20;548,57
Lenovo;259900;64;4857,48;0,00;35,04;8571,43
Acer;89900;16;3138,05;0,00;28,75;466,67
MSI;359999;64;6043,23;0,00;81,93;4285,71
HP;89900;16;3279,53;0,00;25,99;2142,86
MSI;114900;24;3300,89;0,00;46,75;2142,86
Aorus;440900;64;4681,43;0,00;66,69;8571,43
HP;190316;32;4471,04;72,77;35,04;1097,14
ASUS;224900;32;4221,91;0,00;80,18;4285,71
HP;98900;16;4233,09;0,00;11,55;2142,86
ASUS;381900;32;6427,28;0,00;77,72;4285,71
ASUS;280900;32;6233,67;0,00;105,43;4285,71
MSI;225400;64;4681,43;0,00;43,99;2142,86
HP;84999;32;3138,05;0,00;32,40;4285,71
HP;109900;32;3924,67;0,00;28,75;2142,86
HP;109900;32;3664,12;0,00;28,75;2142,86
HP;104900;16;3664,12;0,00;28,75;2142,86
Acer;111900;12;3540,62;0,00;28,75;1097,14
HP;210499;64;4037,04;0,00;28,75;466,67
HP;204999;64;4037,04;0,00;28,75;2142,86
Acer;79900;16;1937,88;19,34;28,75;466,67
LG;143900;16;4180,51;0,00;46,62;1097,14
LG;155900;16;4180,51;0,00;46,62;1097,14
ASUS;79999;8;4480,44;0,00;100,91;2142,86
ASUS;174999;64;5157,91;0,00;52,64;4285,71
ASUS;279999;48;5209,73;0,00;100,91;2142,86
Acer;99900;16;4233,09;0,00;28,75;1097,14
ASUS;120900;16;4814,25;0,00;88,06;2142,86
MSI;398900;32;5069,15;0,00;90,27;2142,86
HP;101900;8;3279,53;0,00;28,75;1097,14
HP;157900;64;4318,57;0,00;30,14;2142,86
Lenovo;49800;8;3138,05;0,00;32,40;548,57
HP;109999;32;3279,53;0,00;28,75;2142,86
HP;39999;8;3773,52;0,00;11,55;274,29
Acer;49999;8;0,00;7,31;28,75;548,57
MSI;349900;32;4491,93;0,00;93,04;8571,43
MSI;134900;16;4491,93;0,00;46,75;2142,86
ASUS;253999;16;0,00;0,00;69,12;4285,71
Acer;100900;16;4233,09;0,00;28,75;2142,86
ASUS;131900;16;4491,93;0,00;66,69;2142,86
ASUS;233900;64;4491,93;0,00;46,75;8571,43
Lenovo;82900;8;3811,79;0,00;46,62;4285,71
Acer;552900;64;4084,38;0,00;69,12;17142,86
HP;87299;12;3773,52;0,00;11,55;4285,71
Aorus;338900;64;4084,38;0,00;80,18;4285,71
Aorus;266900;16;4084,38;0,00;80,18;4285,71
ASUS;136900;16;0,00;132,87;68,38;4285,71
ASUS;131999;24;4132,96;0,00;63,70;4285,71
HP;55999;32;2884,33;0,00;11,28;2142,86
HP;192999;64;4233,09;0,00;25,99;4285,71
HP;121999;32;0,00;0,00;46,75;4285,71
Lenovo;231900;64;5069,15;0,00;93,70;4285,71
Acer;114900;16;4349,91;0,00;43,99;2142,86
HP;212500;64;3279,53;0,00;11,28;933,33
Acer;79900;36;473,23;0,00;28,75;2142,86
HP;150900;16;4814,25;0,00;63,19;2142,86
HP;242499;64;4151,80;0,00;25,99;933,33
Lenovo;259900;64;4857,48;0,00;35,04;4285,71
HP;109900;32;4180,51;0,00;28,75;8571,43
Lenovo;164427;32;4180,51;0,00;30,14;2142,86
ASUS;127900;40;4681,43;0,00;30,14;2142,86
Acer;122999;8;4084,38;0,00;46,75;2142,86
Aorus;431900;32;4681,43;0,00;66,69;4285,71
HP;261900;64;5438,96;0,00;61,64;4285,71
Dell;181900;32;4681,43;0,00;41,61;4285,71
Aorus;369900;32;4681,43;0,00;90,27;1097,14
ASUS;229900;64;6427,28;0,00;77,72;4285,71
Aorus;356900;32;4681,43;0,00;66,69;4285,71
ASUS;84900;32;3059,80;0,00;28,75;2142,86
HP;190900;16;4036,08;0,00;45,85;1097,14
MSI;149900;32;3300,89;0,00;46,75;4285,71
Lenovo;124900;16;3979,73;0,00;46,62;4285,71
MSI;267900;64;4653,22;0,00;46,75;17142,86
HP;190900;32;5139,14;0,00;84,83;2142,86
ASUS;160399;40;5157,91;0,00;52,64;4285,71
ASUS;191999;16;5157,91;0,00;52,64;2142,86
HP;109900;16;3979,73;0,00;25,99;466,67
Lenovo;141999;8;4036,08;0,00;69,12;1097,14
HP;249900;32;2809,54;0,00;32,40;4285,71
