Name;Brand;Price;Ram;CPU;GPU;Display;Storage
HP 14;HP;36900;8;1995,100202;2,637128693;11,52745777;137,1428571
MSI WF66;MSI;339999;32;4084,383139;0;28,75459559;2142,857143
ASUS ROG Flow X13;ASUS;97900;32;0;0;49,86607143;2142,857143
HP EliteBook 650 G10;HP;134594;16;4233,092812;0;28,75459559;548,5714286
HP 15;HP;138999;64;3279,528958;0;11,27864112;4285,714286
ASUS ROG Strix SCAR 17;ASUS;404900;32;6427,280758;0;77,71559443;4285,714286
Lenovo IdeaPad 3i 14;Lenovo;80299;12;3279,528958;0;13,20059122;4285,714286
ASUS Vivobook 13 Slate;ASUS;74999;8;0;0;44,98430576;548,5714286
MSI Katana GF76;MSI;115664;16;4681,425152;0;43,98752411;1097,142857
Acer Nitro 5;Acer;141499;16;4084,383139;0;46,75459559;933,3333333
MSI GF63 Thin;MSI;72900;8;3300,890712;0;28,75459559;1097,142857
Acer Nitro 5;Acer;112999;8;4084,383139;0;46,75459559;1097,142857
Acer Nitro 5;Acer;126999;16;4084,383139;0;46,75459559;4285,714286
HP OMEN 17;HP;231900;32;5139,135439;0;61,64416586;1097,142857
HP ProBook 450 G9;HP;99900;16;3979,729698;0;28,75459559;1097,142857
Lenovo Legion 5 15;Lenovo;135000;16;4300,124315;0;66,68834842;2142,857143
MSI Sword 15;MSI;132999;16;0;0;46,75459559;2142,857143
Acer Aspire 5;Acer;93900;32;3924,666866;0;28,75459559;2142,857143
HP 14;HP;69900;20;3059,796176;0;11,52745777;2142,857143
HP 17;HP;155900;16;3279,528958;52,01423462;25,98752411;933,3333333
HP ENVY 16;HP;241900;64;6008,136783;0;59,47399068;8571,428571
HP 14;HP;126999;16;4233,092812;0;32,40413851;2142,857143
ASUS Creator Laptop Q;ASUS;109900;16;4653,218538;0;36,79227941;1097,142857
HP Pavilion Gaming 15;HP;75521;8;3133,962693;0;28,75459559;548,5714286
Apple MacBook Pro 14;Apple;224999;16;0;0;60,00713049;2142,857143
HP ZBook Fury 15 G8;HP;218499;64;4037,036693;0;28,75459559;4285,714286
HP ZBook Fury 15 G8;HP;173900;64;4037,036693;0;28,75459559;4285,714286
Lenovo IdeaPad 3i 15;Lenovo;92900;32;3801,171177;0;28,75459559;4285,714286
ASUS VivoBook 16;ASUS;76900;24;3801,171177;0;30,1392663;2142,857143
HP ENVY 17;HP;129900;16;3540,616004;0;25,98752411;466,6666667
ASUS Vivobook 15;ASUS;58900;12;0;0;28,75459559;548,5714286
HP Victus 15;HP;80999;16;0;0;46,75459559;1097,142857
HP 17;HP;73879;32;3773,52246;0;11,54554906;4285,714286
HP 14;HP;121900;32;2091,173904;11,04833338;11,52745777;1097,142857
HP 15;HP;88999;20;3138,054716;0;28,75459559;2142,857143
Lenovo ThinkPad P16s Gen 1;Lenovo;184900;40;4180,505353;0;30,1392663;2142,857143
Samsung Galaxy Book Odyssey;Samsung;99900;16;970,5281279;0;28,75459559;1097,142857
Lenovo ThinkPad P16s Gen 1;Lenovo;199999;40;4180,505353;0;30,1392663;4285,714286
ASUS VivoBook Flip 14 TM420;ASUS;89832;8;3370,678745;0;32,40413851;1097,142857
Lenovo IdeaPad Gaming 3 15;Lenovo;74804;16;3811,785213;0;28,75459559;1097,142857
HP OMEN 17;HP;183900;32;4681,425152;0;61,64416586;4285,714286
